school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,F,16,U,GT3,T,4,3,other,other,reputation,father,2,3,0,no,yes,no,yes,yes,yes,yes,no,4,5,4,1,2,2,5,12,11,11
GP,M,18,U,GT3,T,3,2,services,health,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,4,5,11,13,15,16
GP,M,16,U,GT3,T,3,3,health,other,home,other,1,2,1,no,yes,yes,no,yes,yes,yes,no,2,4,3,1,2,4,2,7,7,6
GP,F,16,R,GT3,T,4,4,at_home,teacher,reputation,other,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,3,1,13,12,12
MS,F,18,U,LE3,T,3,2,services,other,course,father,1,1,0,no,no,yes,no,yes,yes,yes,no,4,3,5,1,1,5,7,13,16,14
GP,M,16,U,LE3,T,2,4,at_home,other,home,mother,4,3,1,no,no,no,yes,yes,yes,no,no,5,4,3,3,1,3,3,11,10,11
GP,M,16,U,GT3,T,4,1,health,other,home,mother,2,2,1,no,no,no,yes,no,yes,no,no,5,4,3,1,2,3,8,12,9,9
GP,F,15,U,LE3,T,2,4,at_home,at_home,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,1,5,6,11,10,11
GP,F,18,U,GT3,T,3,3,other,health,other,mother,1,1,0,yes,no,no,yes,yes,yes,no,no,3,3,2,1,5,4,7,8,9,9
GP,F,18,U,GT3,T,4,3,teacher,other,other,mother,3,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,1,1,4,3,1,17,14,14
GP,F,16,R,LE3,T,2,3,at_home,other,other,father,1,3,1,no,no,yes,no,yes,yes,no,no,5,3,3,2,4,5,1,16,16,17
GP,M,16,U,GT3,T,4,4,health,other,other,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,2,3,3,1,4,5,4,9,9,8
GP,F,15,U,GT3,A,4,3,services,services,course,mother,2,1,0,no,yes,no,yes,yes,no,yes,no,5,4,5,2,2,4,4,9,9,8
MS,M,16,R,GT3,T,4,3,at_home,other,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,1,5,4,1,1,5,2,15,15,16
MS,M,18,U,LE3,T,2,4,services,services,course,father,1,1,0,no,yes,yes,yes,no,no,yes,yes,4,3,2,1,1,5,1,12,12,12
